"","Day","theta","MRS","MeanAngle","StdAngle","COM"
"1","Angular",0,0,0,16573.5041108195,0
"2","Angular",0.01,5610391017.9276,-0.0165723863967315,16573.5041108195,1.4210854715202e-14
"3","Angular",0.02,8127285979.59069,-0.0348344445282436,16573.5041108195,0
"4","Angular",0.03,10663712654.3145,-0.0547677121790002,16573.5041108195,0
"5","Angular",0.04,12996161771.301,-0.0763521690766851,16573.5041108195,0
"6","Angular",0.05,16652051767.4516,-0.099566256408238,16573.5041108195,0
"7","Angular",0.06,18927144027.0699,-0.124386897223758,16573.5041108195,3.5527136788005e-15
"8","Angular",0.07,21616574426.6845,-0.150789517728512,16573.5041108195,1.46482137552712e-14
"9","Angular",0.08,25260249807.4201,-0.178748069466835,16573.5041108195,3.5527136788005e-15
"10","Angular",0.09,28152966782.9098,-0.208235052404802,16573.5041108195,0
"11","Angular",0.1,31460565220.031,-0.239221538921598,16573.5041108195,0
"12","Angular",0.11,34050549132.6328,-0.271677198722145,16573.5041108195,0
"13","Angular",0.12,37751973924.3595,-0.305570324685917,16573.5041108195,0
"14","Angular",0.13,40450347355.3991,-0.340867859668677,16573.5041108195,0
"15","Angular",0.14,43110088759.1112,-0.377535424275436,16573.5041108195,0
"16","Angular",0.15,44785361950.9879,-0.415537345624273,16573.5041108195,3.5527136788005e-15
"17","Angular",0.16,46487564446.2154,-0.454836687121173,16573.5041108195,0
"18","Angular",0.17,47881876687.7218,-0.495395279266305,16573.5041108195,0
"19","Angular",0.18,48434976899.3985,-0.537173751512498,16573.5041108195,0
"20","Angular",0.19,49286379386.0571,-0.580131565195146,16573.5041108195,0
"21","Angular",0.2,49417697924.2033,-0.624227047553106,16573.5041108195,3.5527136788005e-15
"22","Angular",0.21,50031467694.3898,-0.669417426857407,16573.5041108195,0
"23","Angular",0.22,50133675636.5584,-0.71565886866334,16573.5041108195,0
"24","Angular",0.23,50331412909.3227,-0.76290651319961,16573.5041108195,0
"25","Angular",0.24,50589846172.1121,-0.811114513904201,16573.5041108195,0
"26","Angular",0.25,50289433809.4967,-0.860236077115218,16573.5041108195,0
"27","Angular",0.26,50886481223.5016,-0.910223502919862,16573.5041108195,0
"28","Angular",0.27,51004761369.449,-0.961028227162089,16573.5041108195,0
"29","Angular",0.28,50568686023.0362,-1.01260086460462,16573.5041108195,1.4210854715202e-14
"30","Angular",0.29,50556656045.1424,-1.06489125323668,16573.5041108195,0
"31","Angular",0.3,50382651494.8925,-1.11784849971453,16573.5041108195,1.46482137552712e-14
"32","Angular",0.31,50261313308.9642,-1.17142102591595,16573.5041108195,1.4210854715202e-14
"33","Angular",0.32,50022318955.7786,-1.225556616586,16573.5041108195,0
"34","Angular",0.33,49499359646.3328,-1.28020246804469,16573.5041108195,3.5527136788005e-15
"35","Angular",0.34,49094134128.3611,-1.33530523792294,16573.5041108195,0
"36","Angular",0.35,48530751407.3776,-1.3908110958869,16573.5041108195,3.5527136788005e-15
"37","Angular",0.36,48165892967.5418,-1.44666577530586,16573.5041108195,1.4210854715202e-14
"38","Angular",0.37,47442529570.6321,-1.50281462581283,16573.5041108195,3.5527136788005e-15
"39","Angular",0.38,46852749267.8033,-1.55920266670202,16573.5041108195,0
"40","Angular",0.39,46494625387.9195,-1.61577464110194,16573.5041108195,0
"41","Angular",0.4,46063720541.3006,-1.67247507085754,16573.5041108195,3.5527136788005e-15
"42","Angular",0.41,45473344133.2938,-1.72924831205034,16573.5041108195,1.46482137552712e-14
"43","Angular",0.42,44788060111.6381,-1.78603861108017,16573.5041108195,1.4210854715202e-14
"44","Angular",0.43,44393397191.0514,-1.84279016122858,16573.5041108195,0
"45","Angular",0.44,43757346093.932,-1.89944715961927,16573.5041108195,0
"46","Angular",0.45,42900086208.6745,-1.95595386448771,16573.5041108195,0
"47","Angular",0.46,42352926637.3698,-2.01225465266856,16573.5041108195,3.5527136788005e-15
"48","Angular",0.47,41542986605.4285,-2.06829407720703,16573.5041108195,3.5527136788005e-15
"49","Angular",0.48,40795020495.6205,-2.12401692499786,16573.5041108195,3.5527136788005e-15
"50","Angular",0.49,40110311535.0707,-2.17936827435389,16573.5041108195,3.5527136788005e-15
"51","Angular",0.5,39031749635.3861,-2.23429355240484,16573.5041108195,1.4210854715202e-14
"52","Angular",0.51,38607899501.7058,-2.28873859222627,16573.5041108195,0
"53","Angular",0.52,37605080582.8388,-2.34264968959867,16573.5041108195,3.5527136788005e-15
"54","Angular",0.53,36972880843.2237,-2.39597365929676,16573.5041108195,0
"55","Angular",0.54,36235748707.7139,-2.44865789080997,16573.5041108195,3.5527136788005e-15
"56","Angular",0.55,35585132562.4109,-2.50065040339732,16573.5041108195,0
"57","Angular",0.56,34740639883.6026,-2.55189990038068,16573.5041108195,0
"58","Angular",0.57,34089028028.2973,-2.60235582258427,16573.5041108195,0
"59","Angular",0.58,33316916047.6724,-2.65196840083054,16573.5041108195,0
"60","Angular",0.59,32433914667.241,-2.70068870740614,16573.5041108195,0
"61","Angular",0.6,31638379120.6096,-2.74846870641623,16573.5041108195,0
"62","Angular",0.61,31221571036.5632,-2.79526130294919,16573.5041108195,3.5527136788005e-15
"63","Angular",0.62,30381442482.7201,-2.84102039097904,16573.5041108195,1.46482137552712e-14
"64","Angular",0.63,29818244356.1255,-2.8857008999375,16573.5041108195,0
"65","Angular",0.64,29368448145.8349,-2.92925883989368,16573.5041108195,3.5527136788005e-15
"66","Angular",0.65,28878591737.361,-2.9716513452842,16573.5041108195,0
"67","Angular",0.66,28560565689.8197,-3.01283671714337,16573.5041108195,3.5527136788005e-15
"68","Angular",0.67,28357079919.9577,-3.05277446378797,16573.5041108195,1.46482137552712e-14
"69","Angular",0.68,28111585415.9898,-3.09142533991805,16573.5041108195,1.4210854715202e-14
"70","Angular",0.69,28125107343.6881,-3.12875138410061,16573.5041108195,0
"71","Angular",0.7,28128132275.4146,-3.16471595460987,16573.5041108195,1.4210854715202e-14
"72","Angular",0.71,28408483562.0275,-3.19928376360271,16573.5041108195,1.4210854715202e-14
"73","Angular",0.72,28539343787.4164,-3.23242090961476,16573.5041108195,0
"74","Angular",0.73,28976352582.2578,-3.26409490836784,16573.5041108195,3.5527136788005e-15
"75","Angular",0.74,29541053570.7646,-3.29427472188476,16573.5041108195,1.4210854715202e-14
"76","Angular",0.75,30075036222.9124,-3.32293078591319,16573.5041108195,3.5527136788005e-15
"77","Angular",0.76,30981376684.4515,-3.3500350356647,16573.5041108195,3.5527136788005e-15
"78","Angular",0.77,31624546071.3017,-3.37556092988017,16573.5041108195,0
"79","Angular",0.78,32366777464.691,-3.3994834732364,16573.5041108195,0
"80","Angular",0.79,33330449859.5647,-3.4217792371133,16573.5041108195,0
"81","Angular",0.8,34147783285.6886,-3.44242637874365,16573.5041108195,0
"82","Angular",0.81,35057426465.8007,-3.4614046587711,16573.5041108195,0
"83","Angular",0.82,36008432138.6891,-3.47869545724403,16573.5041108195,0
"84","Angular",0.83,36858654634.0718,-3.49428178807538,16573.5041108195,3.5527136788005e-15
"85","Angular",0.84,37745464004.806,-3.50814831199982,16573.5041108195,1.4210854715202e-14
"86","Angular",0.85,38264852385.7165,-3.52028134806098,16573.5041108195,0
"87","Angular",0.86,39159446051.6119,-3.53066888366172,16573.5041108195,0
"88","Angular",0.87,39624073371.8978,-3.53930058321143,16573.5041108195,0
"89","Angular",0.88,40427670263.7677,-3.54616779540279,16573.5041108195,0
"90","Angular",0.89,41096389223.388,-3.55126355915105,16573.5041108195,1.4210854715202e-14
"91","Angular",0.9,42023811133.811,-3.55458260822674,16573.5041108195,0
"92","Angular",0.91,42377378109.075,-3.55612137461195,16573.5041108195,0
"93","Angular",0.92,43040110143.5811,-3.55587799060777,16573.5041108195,1.46482137552712e-14
