YEAR  MO  DA  HR      LAT       LON   CO2 20000
2012   8  16   0  39.4368  -96.2675  0.1227E-12
2012   8  16   0  39.4868  -96.2675  0.2318E-12
2012   8  16   0  41.1868  -96.2675  0.9565E-10
2012   8  16   0  41.2368  -96.2675  0.9571E-10
2012   8  16   0  41.2868  -96.2675  0.1437E-09
2012   8  16   0  41.3368  -96.2675  0.9585E-10
2012   8  16   0  41.3868  -96.2675  0.1439E-09
2012   8  16   0  41.4368  -96.2675  0.1440E-09
2012   8  16   0  41.4868  -96.2675  0.9608E-10
2012   8  16   0  41.5368  -96.2675  0.4806E-10
2012   8  16   0  39.3868  -96.2175  0.2679E-10
2012   8  16   0  39.4368  -96.2175  0.1085E-09
2012   8  16   0  39.4868  -96.2175  0.8254E-10
2012   8  16   0  39.5368  -96.2175  0.2840E-10
2012   8  16   0  39.5868  -96.2175  0.3277E-11
2012   8  16   0  39.9368  -96.2175  0.1006E-09
2012   8  16   0  39.9868  -96.2175  0.2504E-09
2012   8  16   0  40.0368  -96.2175  0.1997E-09
2012   8  16   0  40.0868  -96.2175  0.1499E-09
2012   8  16   0  40.1368  -96.2175  0.2000E-09
2012   8  16   0  40.1868  -96.2175  0.1001E-09
2012   8  16   0  40.7368  -96.2175  0.6331E-10
2012   8  16   0  40.7868  -96.2175  0.6339E-10
2012   8  16   0  40.8368  -96.2175  0.1268E-09
2012   8  16   0  40.8868  -96.2175  0.1269E-09
2012   8  16   0  40.9368  -96.2175  0.1588E-09
2012   8  16   0  40.9868  -96.2175  0.1430E-09
2012   8  16   0  41.0368  -96.2175  0.1431E-09
2012   8  16   0  41.0868  -96.2175  0.1432E-09
2012   8  16   0  41.1368  -96.2175  0.9556E-10
2012   8  16   0  41.1868  -96.2175  0.4780E-10
2012   8  16   0  41.5368  -96.2175  0.9616E-10
2012   8  16   0  41.5868  -96.2175  0.1443E-09
2012   8  16   0  41.6368  -96.2175  0.9630E-10
2012   8  16   0  41.6868  -96.2175  0.1445E-09
2012   8  16   0  41.7368  -96.2175  0.9643E-10
2012   8  16   0  39.3368  -96.1675  0.7174E-09
2012   8  16   0  39.3868  -96.1675  0.3717E-08
2012   8  16   0  39.4368  -96.1675  0.3153E-08
2012   8  16   0  39.4868  -96.1675  0.1445E-08
2012   8  16   0  39.5368  -96.1675  0.7818E-09
2012   8  16   0  39.5868  -96.1675  0.8298E-09
2012   8  16   0  39.6368  -96.1675  0.1082E-08
2012   8  16   0  39.6868  -96.1675  0.9420E-09
2012   8  16   0  39.7368  -96.1675  0.1154E-08
2012   8  16   0  39.7868  -96.1675  0.1379E-08
2012   8  16   0  39.8368  -96.1675  0.1801E-08
2012   8  16   0  39.8868  -96.1675  0.1451E-08
2012   8  16   0  39.9368  -96.1675  0.8391E-09
2012   8  16   0  39.9868  -96.1675  0.7347E-09
2012   8  16   0  40.0368  -96.1675  0.8305E-09
2012   8  16   0  40.0868  -96.1675  0.8411E-09
2012   8  16   0  40.1368  -96.1675  0.6327E-09
2012   8  16   0  40.1868  -96.1675  0.7832E-09
2012   8  16   0  40.2368  -96.1675  0.7309E-09
2012   8  16   0  40.2868  -96.1675  0.8101E-09
2012   8  16   0  40.3368  -96.1675  0.6217E-09
2012   8  16   0  40.3868  -96.1675  0.5655E-09
2012   8  16   0  40.4368  -96.1675  0.5270E-09
2012   8  16   0  40.4868  -96.1675  0.5283E-09
2012   8  16   0  40.5368  -96.1675  0.4784E-09
2012   8  16   0  40.5868  -96.1675  0.6114E-09
2012   8  16   0  40.6368  -96.1675  0.6046E-09
2012   8  16   0  40.6868  -96.1675  0.5315E-09
2012   8  16   0  40.7368  -96.1675  0.2183E-09
2012   8  16   0  40.7868  -96.1675  0.2301E-09
2012   8  16   0  41.7368  -96.1675  0.4823E-10
2012   8  16   0  41.7868  -96.1675  0.1448E-09
2012   8  16   0  41.8368  -96.1675  0.1449E-09
2012   8  16   0  39.2868  -96.1175  0.6536E-08
2012   8  16   0  39.3368  -96.1175  0.1733E-05
2012   8  16   0  39.3868  -96.1175  0.6690E-06
2012   8  16   0  39.4368  -96.1175  0.4204E-06
2012   8  16   0  39.4868  -96.1175  0.2973E-06
2012   8  16   0  39.5368  -96.1175  0.1933E-06
2012   8  16   0  39.5868  -96.1175  0.1181E-06
